"FORMAT","STREET ADDRESS","CITY","STATE","STORE CLOSING","ZIP"
"Kmart","1 Kmart Plaza/State Hy 89","Cabot","AR","Early April","72023"
"Kmart","8701 West Mc Dowell","Tolleson","AZ","Early April","85353"
"Kmart","750 West Deuce Of Clubs","Show Low","AZ","Early April","85901"
"Kmart","301 Gardner Field Road","Taft","CA","Early April","93268"
"Kmart","8017 South Atlantic Avenue","Cudahy","CA","Mid March","90201"
"Kmart","1670 East 4Th Street","Ontario","CA","Early April","91764"
"Kmart","1570 W Branch Street","Arroyo Grande","CA","Early April","93420"
"Kmart","2685 Hilltop Drive","Redding","CA","Early April","96003"
"Kmart","3020 N Nevada Street","Colorado Springs","CO","Early April","80907"
"Kmart","1002 East Hwy 50","Clermont","FL","Early March","34711"
"Kmart","10301 S E Us Hwy 441","Belleview","FL","Early April","34420"
"Kmart","3711 E Silver Spring Blvd","Ocala","FL","Early April","34470"
"Kmart","430 Northside Drive East","Statesboro","GA","Early April","30458"
"Kmart","2525 Dawson Road","Albany","GA","Early April","31707"
"Kmart","950 Sunset Blvd","Jesup","GA","Early April","31545"
"Kmart","2501 N Broadway Street","Red Oak","IA","Early April","51566"
"Kmart","7501 Hickman Road","Urbandale","IA","Early April","50322"
"Kmart","Route 149 West","West Frankfort","IL","Early April","62896"
"Kmart","3404 Broadway Street","Mt. Vernon","IL","Early April","62864"
"Kmart","1321 Sandy Hollow Road","Rockford","IL","Early April","61109"
"Kmart","5101 E Thompson Road","Indianapolis","IN","Early April","46237"
"Kmart","3175 West 3Rd Street","Bloomington","IN","Early April","47404"
"Kmart","4830 S Broadway Street","Wichita","KS","Early April","67216"
"Kmart","2440 Lone Oak Road","Paducah","KY","Early April","42003"
"Kmart","3555 Highway 190","Mandeville","LA","Early April","70471"
"Kmart","1647 Crofton Centre","Crofton","MD","Early April","21114"
"Kmart","301 Tilghman Road","Salisbury","MD","Early April","21804"
"Kmart","67300 Main Street","Richmond","MI","Early April","48062"
"Kmart","205 South Greenville W Drive","Greenville","MI","Early April","48838"
"Kmart","1700 Cedar Street","Helena","MT","Early April","59601"
"Kmart","3300 Harrison Avenue","Butte","MT","Early April","59701"
"Kmart","706 E Dixon Blvd","Shelby","NC","Early April","28152"
"Kmart","2515 Horner Blvd","Sanford","NC","Early April","27330"
"Kmart","395 Westgate Plaza Road","Franklin","NC","Early April","28734"
"Kmart","175 Freedom Way","Midway Park","NC","Early April","28544"
"Kmart","815 East Innes Street","Salisbury","NC","Early April","28144"
"Kmart","701 5Th Avenue Se","Devils Lake","ND","Early April","58301"
"Kmart","Milton Road","Rochester","NH","Early April","03868"
"Kmart","1235 S 2Nd Street","Raton","NM","Early April","87740"
"Kmart","2100 E Tucumcari Blvd","Tucumcari","NM","Early April","88401"
"Kmart","4500 North Rancho Drive","Las Vegas","NV","Early April","89130"
"Kmart","2671 Las Vegas Blvd N","North Las Vegas","NV","Early April","89030"
"Kmart","57 Centre Drive","Plattsburgh","NY","Early April","12901"
"Kmart","2100 Niles Cortland Road Se","Warren","OH","Early April","44484"
"Kmart","4010 W Owen Garriott Road","Enid","OK","Early April","73703"
"Kmart","1025 Washington Pike","Bridgeville","PA","Early April","15017"
"Kmart","2900 N Elmira Street","Sayre","PA","Early April","18840"
"Kmart","463 N Enola Rts 11 & 15","Enola","PA","Early April","17025"
"Kmart","5050 Jonestown Road","Harrisburg","PA","Early April","17112"
"Kmart","5 Laurel Mall","Hazleton Township","PA","Early April","18202"
"Kmart","1874 North Twp Blvd","Pittston","PA","Early April","18640"
"Kmart","2235 East State Street","Hermitage","PA","Early April","16148"
"Kmart","3301 Aramingo Avenue","Philadelphia","PA","Early April","19134"
"Kmart","491 Allegheny Blvd","Franklin","PA","Early April","16323"
"Kmart","650 Old Willow Avenue","Honesdale","PA","Early April","18431"
"Kmart","190 Cumberland Square","Crossville","TN","Early April","38555"
"Kmart","230 Longhollow Pike","Goodlettsville","TN","Early April","37072"
"Kmart","1317 Tusculum Blvd","Greeneville","TN","Early April","37745"
"Kmart","1400 Wildcat Drive","Portland","TX","Early April","78374"
"Kmart","2 Diamond Run Mall","Rutland","VT","Early April","05701"
"Kmart","1201 N W Louisiana","Chehalis","WA","Early April","98532"
"Kmart","5636 U S  Route 60  E","Huntington","WV","Early April","25705"
"Kmart","102 Emily Drive","Clarksburg","WV","Early April","26301"
"Kmart","1477 Maccorkle Avenue","St Albans","WV","Early April","25177"
